site_no,site_lat,site_lon,granule_time,granule_urls,result,result_unit,result_time
11312676,37.94226944,-121.5337,2022-08-13 23:23:55+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_RFL_001_20220813T232355_2222515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_RFLUNCERT_001_20220813T232355_2222515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_MASK_001_20220813T232355_2222515_004.nc']",1.48,ug/l,2022-08-13T15:30:00.000-08:00
11312676,37.94226944,-121.5337,2023-03-27 23:01:16+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230116_2308615_002/EMIT_L2A_RFL_001_20230327T230116_2308615_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230116_2308615_002/EMIT_L2A_RFLUNCERT_001_20230327T230116_2308615_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230116_2308615_002/EMIT_L2A_MASK_001_20230327T230116_2308615_002.nc']",1.25,ug/l,2023-03-27T15:00:00.000-08:00
11312676,37.94226944,-121.5337,2023-03-27 23:01:28+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_RFL_001_20230327T230128_2308615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_RFLUNCERT_001_20230327T230128_2308615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_MASK_001_20230327T230128_2308615_003.nc']",1.25,ug/l,2023-03-27T15:00:00.000-08:00
11312676,37.94226944,-121.5337,2023-03-31 21:26:03+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_RFL_001_20230331T212603_2309014_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_RFLUNCERT_001_20230331T212603_2309014_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_MASK_001_20230331T212603_2309014_003.nc']",1.02,ug/l,2023-03-31T13:30:00.000-08:00
11312676,37.94226944,-121.5337,2023-04-04 19:51:31+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230404T195131_2309413_002/EMIT_L2A_RFL_001_20230404T195131_2309413_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230404T195131_2309413_002/EMIT_L2A_RFLUNCERT_001_20230404T195131_2309413_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230404T195131_2309413_002/EMIT_L2A_MASK_001_20230404T195131_2309413_002.nc']",1.22,ug/l,2023-04-04T11:45:00.000-08:00
11312676,37.94226944,-121.5337,2023-05-27 22:53:15+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_RFL_001_20230527T225315_2314715_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_RFLUNCERT_001_20230527T225315_2314715_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_MASK_001_20230527T225315_2314715_004.nc']",0.68,ug/l,2023-05-27T15:00:00.000-08:00
11312676,37.94226944,-121.5337,2023-06-22 19:32:01+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_RFL_001_20230622T193201_2317313_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_RFLUNCERT_001_20230622T193201_2317313_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230622T193201_2317313_003/EMIT_L2A_MASK_001_20230622T193201_2317313_003.nc']",1.48,ug/l,2023-06-22T11:30:00.000-08:00
11312676,37.94226944,-121.5337,2023-08-07 18:27:32+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182732_2321912_005/EMIT_L2A_RFL_001_20230807T182732_2321912_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182732_2321912_005/EMIT_L2A_RFLUNCERT_001_20230807T182732_2321912_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182732_2321912_005/EMIT_L2A_MASK_001_20230807T182732_2321912_005.nc']",0.74,ug/l,2023-08-07T10:30:00.000-08:00
11312676,37.94226944,-121.5337,2023-08-07 18:27:44+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_RFL_001_20230807T182744_2321912_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_RFLUNCERT_001_20230807T182744_2321912_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_MASK_001_20230807T182744_2321912_006.nc']",0.74,ug/l,2023-08-07T10:30:00.000-08:00
11312676,37.94226944,-121.5337,2023-08-14 22:34:53+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230814T223453_2322615_003/EMIT_L2A_RFL_001_20230814T223453_2322615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230814T223453_2322615_003/EMIT_L2A_RFLUNCERT_001_20230814T223453_2322615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230814T223453_2322615_003/EMIT_L2A_MASK_001_20230814T223453_2322615_003.nc']",1.10,ug/l,2023-08-14T14:30:00.000-08:00
