site_no,site_lat,site_lon,granule_time,granule_urls,result,result_unit,result_time
11273400,37.3472151,-120.9761777,2022-08-10 17:42:13+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220810T174213_2222212_001/EMIT_L2A_RFL_001_20220810T174213_2222212_001.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220810T174213_2222212_001/EMIT_L2A_RFLUNCERT_001_20220810T174213_2222212_001.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220810T174213_2222212_001/EMIT_L2A_MASK_001_20220810T174213_2222212_001.nc']",2.12,RFU,2022-08-10T10:45:00.000-07:00
11273400,37.3472151,-120.9761777,2022-08-14 16:05:05+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220814T160505_2222611_004/EMIT_L2A_RFL_001_20220814T160505_2222611_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220814T160505_2222611_004/EMIT_L2A_RFLUNCERT_001_20220814T160505_2222611_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220814T160505_2222611_004/EMIT_L2A_MASK_001_20220814T160505_2222611_004.nc']",2.66,RFU,2022-08-14T09:00:00.000-07:00
11273400,37.3472151,-120.9761777,2023-06-04 19:37:03+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230604T193703_2315513_003/EMIT_L2A_RFL_001_20230604T193703_2315513_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230604T193703_2315513_003/EMIT_L2A_RFLUNCERT_001_20230604T193703_2315513_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230604T193703_2315513_003/EMIT_L2A_MASK_001_20230604T193703_2315513_003.nc']",2.43,RFU,2023-06-04T12:30:00.000-07:00
11273400,37.3472151,-120.9761777,2023-08-14 22:35:05+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230814T223505_2322615_004/EMIT_L2A_RFL_001_20230814T223505_2322615_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230814T223505_2322615_004/EMIT_L2A_RFLUNCERT_001_20230814T223505_2322615_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230814T223505_2322615_004/EMIT_L2A_MASK_001_20230814T223505_2322615_004.nc']",8.93,RFU,2023-08-14T15:30:00.000-07:00
11273400,37.3472151,-120.9761777,2023-08-18 21:00:31+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210031_2323014_003/EMIT_L2A_RFL_001_20230818T210031_2323014_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210031_2323014_003/EMIT_L2A_RFLUNCERT_001_20230818T210031_2323014_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210031_2323014_003/EMIT_L2A_MASK_001_20230818T210031_2323014_003.nc']",9.92,RFU,2023-08-18T14:00:00.000-07:00
11273400,37.3472151,-120.9761777,2023-08-22 19:25:31+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192531_2323413_003/EMIT_L2A_RFL_001_20230822T192531_2323413_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192531_2323413_003/EMIT_L2A_RFLUNCERT_001_20230822T192531_2323413_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192531_2323413_003/EMIT_L2A_MASK_001_20230822T192531_2323413_003.nc']",6.90,RFU,2023-08-22T12:30:00.000-07:00
11273400,37.3472151,-120.9761777,2023-08-22 19:25:43+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192543_2323413_004/EMIT_L2A_RFL_001_20230822T192543_2323413_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192543_2323413_004/EMIT_L2A_RFLUNCERT_001_20230822T192543_2323413_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192543_2323413_004/EMIT_L2A_MASK_001_20230822T192543_2323413_004.nc']",6.90,RFU,2023-08-22T12:30:00.000-07:00
11336600,38.2447222,-121.5052778,2022-08-13 23:23:55+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_RFL_001_20220813T232355_2222515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_RFLUNCERT_001_20220813T232355_2222515_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20220813T232355_2222515_004/EMIT_L2A_MASK_001_20220813T232355_2222515_004.nc']",0.48,RFU,2022-08-13T15:30:00.000-08:00
11336600,38.2447222,-121.5052778,2023-03-27 23:01:28+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_RFL_001_20230327T230128_2308615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_RFLUNCERT_001_20230327T230128_2308615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230128_2308615_003/EMIT_L2A_MASK_001_20230327T230128_2308615_003.nc']",2.00,RFU,2023-03-27T15:00:00.000-08:00
11336600,38.2447222,-121.5052778,2023-03-31 21:26:03+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_RFL_001_20230331T212603_2309014_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_RFLUNCERT_001_20230331T212603_2309014_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212603_2309014_003/EMIT_L2A_MASK_001_20230331T212603_2309014_003.nc']",1.10,RFU,2023-03-31T13:30:00.000-08:00
