site_no,site_lat,site_lon,granule_time,granule_urls,result,result_unit,result_time
10336610,38.9224078,-119.9915706,2023-02-20 19:41:14+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230220T194114_2305113_010/EMIT_L2A_RFL_001_20230220T194114_2305113_010.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230220T194114_2305113_010/EMIT_L2A_RFLUNCERT_001_20230220T194114_2305113_010.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230220T194114_2305113_010/EMIT_L2A_MASK_001_20230220T194114_2305113_010.nc']",6.2,FNU,2023-02-20T12:15:00.000-08:00
10336610,38.9224078,-119.9915706,2023-03-27 23:01:52+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230152_2308615_005/EMIT_L2A_RFL_001_20230327T230152_2308615_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230152_2308615_005/EMIT_L2A_RFLUNCERT_001_20230327T230152_2308615_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230152_2308615_005/EMIT_L2A_MASK_001_20230327T230152_2308615_005.nc']",4.0,FNU,2023-03-27T16:00:00.000-07:00
10336610,38.9224078,-119.9915706,2023-03-31 21:26:27+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212627_2309014_005/EMIT_L2A_RFL_001_20230331T212627_2309014_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212627_2309014_005/EMIT_L2A_RFLUNCERT_001_20230331T212627_2309014_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212627_2309014_005/EMIT_L2A_MASK_001_20230331T212627_2309014_005.nc']",4.3,FNU,2023-03-31T14:25:00.000-07:00
10336610,38.9224078,-119.9915706,2023-04-23 19:10:10+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230423T191010_2311313_005/EMIT_L2A_RFL_001_20230423T191010_2311313_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230423T191010_2311313_005/EMIT_L2A_RFLUNCERT_001_20230423T191010_2311313_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230423T191010_2311313_005/EMIT_L2A_MASK_001_20230423T191010_2311313_005.nc']",4.6,FNU,2023-04-23T12:10:00.000-07:00
10336610,38.9224078,-119.9915706,2023-04-27 17:32:22+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230427T173222_2311711_006/EMIT_L2A_RFL_001_20230427T173222_2311711_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230427T173222_2311711_006/EMIT_L2A_RFLUNCERT_001_20230427T173222_2311711_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230427T173222_2311711_006/EMIT_L2A_MASK_001_20230427T173222_2311711_006.nc']",6.5,FNU,2023-04-27T10:30:00.000-07:00
10336645,39.05185197,-120.1185209,2023-02-20 19:41:02+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230220T194102_2305113_009/EMIT_L2A_RFL_001_20230220T194102_2305113_009.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230220T194102_2305113_009/EMIT_L2A_RFLUNCERT_001_20230220T194102_2305113_009.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230220T194102_2305113_009/EMIT_L2A_MASK_001_20230220T194102_2305113_009.nc']",0.2,FNU,2023-02-20T12:15:00.000-08:00
10336645,39.05185197,-120.1185209,2023-03-27 23:01:40+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230140_2308615_004/EMIT_L2A_RFL_001_20230327T230140_2308615_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230140_2308615_004/EMIT_L2A_RFLUNCERT_001_20230327T230140_2308615_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230140_2308615_004/EMIT_L2A_MASK_001_20230327T230140_2308615_004.nc']",0.3,FNU,2023-03-27T16:00:00.000-07:00
10336645,39.05185197,-120.1185209,2023-03-27 23:01:52+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230152_2308615_005/EMIT_L2A_RFL_001_20230327T230152_2308615_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230152_2308615_005/EMIT_L2A_RFLUNCERT_001_20230327T230152_2308615_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230327T230152_2308615_005/EMIT_L2A_MASK_001_20230327T230152_2308615_005.nc']",0.3,FNU,2023-03-27T16:00:00.000-07:00
10336645,39.05185197,-120.1185209,2023-03-31 21:26:27+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212627_2309014_005/EMIT_L2A_RFL_001_20230331T212627_2309014_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212627_2309014_005/EMIT_L2A_RFLUNCERT_001_20230331T212627_2309014_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230331T212627_2309014_005/EMIT_L2A_MASK_001_20230331T212627_2309014_005.nc']",0.3,FNU,2023-03-31T14:25:00.000-07:00
10336645,39.05185197,-120.1185209,2023-04-23 19:10:10+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230423T191010_2311313_005/EMIT_L2A_RFL_001_20230423T191010_2311313_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230423T191010_2311313_005/EMIT_L2A_RFLUNCERT_001_20230423T191010_2311313_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230423T191010_2311313_005/EMIT_L2A_MASK_001_20230423T191010_2311313_005.nc']",0.7,FNU,2023-04-23T12:10:00.000-07:00
